,card,merchant,category,amount,transaction_date
4265277513615#2024-01-29T03:49:48.924Z,4265277513615,Parker - Borer,Groceries,2630.00,2024-01-29T03:49:48.924Z
3529-3984-7816-1650#2024-01-13T17:55:33.667Z,3529-3984-7816-1650,"Kunze, Hodkiewicz and Sauer",Fashion,2810.00,2024-01-13T17:55:33.667Z
6759-8853-8882-2490#2024-01-13T12:46:35.328Z,6759-8853-8882-2490,"Roberts, Douglas and Bins",Food & Drink,346.00,2024-01-13T12:46:35.328Z
3626-234612-5200#2024-01-29T11:45:33.528Z,3626-234612-5200,Reinger - Bailey,Groceries,2249.00,2024-01-29T11:45:33.528Z
3685-762083-7519#2024-01-20T23:11:32.456Z,3685-762083-7519,"Bins, Conroy and Rippin",Fashion,2746.00,2024-01-20T23:11:32.456Z
3529-4508-4988-2553#2024-01-14T20:22:32.128Z,3529-4508-4988-2553,"Olson, Fritsch and Hand",Groceries,2097.00,2024-01-14T20:22:32.128Z
6767-4478-8675-7225-06#2024-01-07T15:14:29.073Z,6767-4478-8675-7225-06,MacGyver Inc,Food & Drink,2351.00,2024-01-07T15:14:29.073Z
6767-0903-1265-7993#2024-01-26T12:22:42.686Z,6767-0903-1265-7993,Marquardt Group,Transportation,2438.00,2024-01-26T12:22:42.686Z
6376-9009-7635-8220#2024-01-28T16:26:37.672Z,6376-9009-7635-8220,"Champlin, Grant and Boyer",Fashion,2453.00,2024-01-28T16:26:37.672Z
4906902368764#2024-01-20T04:00:01.962Z,4906902368764,"Hodkiewicz, Hettinger and Rolfson",Food & Drink,2031.00,2024-01-20T04:00:01.962Z
3528-1186-9652-9491#2024-01-06T11:55:18.651Z,3528-1186-9652-9491,"Sauer, O'Hara and Paucek",Transportation,625.00,2024-01-06T11:55:18.651Z
5427-4901-1179-5081#2024-01-05T16:47:13.923Z,5427-4901-1179-5081,Lueilwitz and Sons,Online Retail,2432.00,2024-01-05T16:47:13.923Z
6759-3446-8949-8906-437#2024-01-27T20:09:05.619Z,6759-3446-8949-8906-437,DuBuque - Schaden,Food & Drink,2994.00,2024-01-27T20:09:05.619Z
677117649342998365#2024-01-28T04:02:40.590Z,677117649342998365,Bosco LLC,Groceries,2113.00,2024-01-28T04:02:40.590Z
670998163754069722#2024-01-01T16:22:03.850Z,670998163754069722,Kunze - Hauck,Online Retail,107.00,2024-01-01T16:22:03.850Z
670671792864452933#2024-01-01T08:47:46.890Z,670671792864452933,"Rempel, Gutkowski and Hodkiewicz",Fashion,1940.00,2024-01-01T08:47:46.890Z
670953103680628905#2024-01-15T21:32:24.881Z,670953103680628905,Shields LLC,Online Retail,2922.00,2024-01-15T21:32:24.881Z
6767-1291-5310-3062-353#2024-01-10T23:25:11.041Z,6767-1291-5310-3062-353,Greenholt Group,Fashion,148.00,2024-01-10T23:25:11.041Z
677105199475252325#2024-01-20T03:28:28.971Z,677105199475252325,Luettgen LLC,Food & Drink,1663.00,2024-01-20T03:28:28.971Z
6771-8993-3838-3168#2024-01-13T00:52:48.936Z,6771-8993-3838-3168,"Shields, Heller and Herman",Transportation,2003.00,2024-01-13T00:52:48.936Z
5471-0768-6240-5585#2024-01-18T20:48:31.070Z,5471-0768-6240-5585,Rohan Group,Food & Drink,2319.00,2024-01-18T20:48:31.070Z
3762-830313-59365#2024-01-28T01:15:28.003Z,3762-830313-59365,Reynolds Inc,Transportation,2903.00,2024-01-28T01:15:28.003Z
6370-1591-8352-0728#2024-01-02T22:55:14.140Z,6370-1591-8352-0728,Gulgowski - White,Transportation,2190.00,2024-01-02T22:55:14.140Z
6377-1394-4927-4305#2024-01-15T03:39:56.445Z,6377-1394-4927-4305,Welch Group,Fashion,1622.00,2024-01-15T03:39:56.445Z
3703-495400-89235#2024-01-29T13:06:17.070Z,3703-495400-89235,Kuhlman Inc,Groceries,1330.00,2024-01-29T13:06:17.070Z
3539-3310-7608-2687#2024-01-24T08:15:37.119Z,3539-3310-7608-2687,"Hand, Weimann and Klein",Groceries,311.00,2024-01-24T08:15:37.119Z
6759-3905-5125-4878#2024-01-15T03:00:19.328Z,6759-3905-5125-4878,Murphy - VonRueden,Online Retail,2233.00,2024-01-15T03:00:19.328Z
6384-8106-8447-6687#2024-01-11T11:17:00.450Z,6384-8106-8447-6687,Hoeger - Jakubowski,Online Retail,2888.00,2024-01-11T11:17:00.450Z
6567-2641-3533-9699#2024-01-11T19:46:03.219Z,6567-2641-3533-9699,"Leffler, Lang and Brekke",Food & Drink,2052.00,2024-01-11T19:46:03.219Z
5459-5674-7715-2220#2024-01-13T08:32:30.700Z,5459-5674-7715-2220,Reilly - Feeney,Transportation,1724.00,2024-01-13T08:32:30.700Z
6709600377393804#2024-01-11T16:29:59.959Z,6709600377393804,Langworth Inc,Food & Drink,710.00,2024-01-11T16:29:59.959Z
4932698107794#2024-01-23T21:43:45.362Z,4932698107794,"Fahey, Schroeder and Ondricka",Transportation,699.00,2024-01-23T21:43:45.362Z
5425-1241-8168-2380#2024-01-21T22:41:10.874Z,5425-1241-8168-2380,Mertz - Paucek,Transportation,2291.00,2024-01-21T22:41:10.874Z
3748-499215-76268#2024-01-19T18:04:11.921Z,3748-499215-76268,"Maggio, Parker and McDermott",Food & Drink,1638.00,2024-01-19T18:04:11.921Z
5406-9141-7446-0437#2024-01-03T07:43:28.959Z,5406-9141-7446-0437,Wuckert - Weissnat,Food & Drink,1002.00,2024-01-03T07:43:28.959Z
5020-2285-4883-1041#2024-01-10T08:53:17.192Z,5020-2285-4883-1041,Balistreri Group,Food & Drink,298.00,2024-01-10T08:53:17.192Z
5294-0363-0977-3297#2024-01-23T02:31:50.633Z,5294-0363-0977-3297,Swift Group,Groceries,947.00,2024-01-23T02:31:50.633Z
6759-4158-2326-6953-644#2024-01-15T01:27:25.646Z,6759-4158-2326-6953-644,Christiansen Inc,Food & Drink,2450.00,2024-01-15T01:27:25.646Z
67592255636121025#2024-01-28T07:25:06.942Z,67592255636121025,Lehner - Wintheiser,Online Retail,936.00,2024-01-28T07:25:06.942Z
6767-0903-1265-7993#2024-01-22T04:50:33.370Z,6767-0903-1265-7993,Klein Inc,Fashion,1381.00,2024-01-22T04:50:33.370Z
6767-0450-1225-3733#2024-01-13T01:07:41.697Z,6767-0450-1225-3733,"Stamm, Medhurst and Lakin",Groceries,600.00,2024-01-13T01:07:41.697Z
3529-0925-7344-8563#2024-01-05T15:03:21.590Z,3529-0925-7344-8563,"Hudson, Ward and Blick",Fashion,1612.00,2024-01-05T15:03:21.590Z
670635369294297116#2024-01-22T10:01:28.128Z,670635369294297116,Cartwright - Bauch,Food & Drink,2256.00,2024-01-22T10:01:28.128Z
6771-8968-6086-2809#2024-01-24T08:59:19.994Z,6771-8968-6086-2809,Jacobson Group,Fashion,1120.00,2024-01-24T08:59:19.994Z
4064-4609-5363-1109#2024-01-21T10:25:55.371Z,4064-4609-5363-1109,Yundt and Sons,Online Retail,235.00,2024-01-21T10:25:55.371Z
6767-1528-8686-9428#2024-01-10T10:34:20.634Z,6767-1528-8686-9428,"Abernathy, Smith and Collins",Online Retail,1238.00,2024-01-10T10:34:20.634Z
6771-8984-1309-1977#2024-01-21T00:28:01.425Z,6771-8984-1309-1977,Prohaska Inc,Online Retail,1793.00,2024-01-21T00:28:01.425Z
6378-1751-8144-5223#2024-01-05T00:22:51.747Z,6378-1751-8144-5223,Heller - Doyle,Transportation,2481.00,2024-01-05T00:22:51.747Z
3528-2456-6966-6420#2024-01-21T08:48:22.212Z,3528-2456-6966-6420,Herzog LLC,Groceries,2691.00,2024-01-21T08:48:22.212Z
6304445220044330#2024-01-26T14:18:48.896Z,6304445220044330,Schiller - Williamson,Groceries,1748.00,2024-01-26T14:18:48.896Z
6759-6131-4445-2281-59#2024-01-03T16:17:22.955Z,6759-6131-4445-2281-59,Bashirian - Lakin,Transportation,946.00,2024-01-03T16:17:22.955Z
5296-5533-7774-2747#2024-01-22T07:16:54.372Z,5296-5533-7774-2747,Conn - Beier,Online Retail,2012.00,2024-01-22T07:16:54.372Z
6706732958874283#2024-01-23T12:05:20.824Z,6706732958874283,Wyman - Brekke,Transportation,1339.00,2024-01-23T12:05:20.824Z
6759-1906-3257-2618-31#2024-01-29T16:39:18.189Z,6759-1906-3257-2618-31,Leuschke LLC,Online Retail,1180.00,2024-01-29T16:39:18.189Z
6767-3113-0759-1163-51#2024-01-08T18:27:59.502Z,6767-3113-0759-1163-51,"Grady, McClure and Larkin",Transportation,62.00,2024-01-08T18:27:59.502Z
5453-8869-3162-9748#2024-01-06T23:52:05.735Z,5453-8869-3162-9748,"Robel, Corwin and Okuneva",Transportation,885.00,2024-01-06T23:52:05.735Z
67595226300260845962#2024-01-03T03:14:45.468Z,67595226300260845962,"DuBuque, Goldner and Kirlin",Transportation,2981.00,2024-01-03T03:14:45.468Z
6759-1368-2495-5688#2024-01-09T13:48:14.952Z,6759-1368-2495-5688,Goyette and Sons,Groceries,25.00,2024-01-09T13:48:14.952Z
5568-5070-4021-1671#2024-01-12T23:57:40.531Z,5568-5070-4021-1671,Schinner LLC,Transportation,1572.00,2024-01-12T23:57:40.531Z
3020-711359-3045#2024-01-29T06:38:02.581Z,3020-711359-3045,Dietrich - Grant,Fashion,590.00,2024-01-29T06:38:02.581Z
6759-2945-8630-0855-68#2024-01-08T01:22:03.453Z,6759-2945-8630-0855-68,Deckow - Johnson,Groceries,742.00,2024-01-08T01:22:03.453Z
3732-358139-67065#2024-01-10T12:36:03.929Z,3732-358139-67065,Cartwright and Sons,Online Retail,2631.00,2024-01-10T12:36:03.929Z
677119865814565734#2024-01-11T13:43:16.540Z,677119865814565734,Romaguera LLC,Groceries,403.00,2024-01-11T13:43:16.540Z
6011-6282-7408-0708-8753#2024-01-03T15:23:25.399Z,6011-6282-7408-0708-8753,"Mayert, Kuhn and Doyle",Groceries,16.00,2024-01-03T15:23:25.399Z
6767-6232-2428-5824#2024-01-10T20:51:35.706Z,6767-6232-2428-5824,Murphy Inc,Food & Drink,155.00,2024-01-10T20:51:35.706Z
6378-4769-8646-2243#2024-01-30T00:34:08.513Z,6378-4769-8646-2243,"Goyette, Quigley and Lesch",Fashion,1747.00,2024-01-30T00:34:08.513Z
5453-8869-3162-9748#2024-01-13T03:44:24.135Z,5453-8869-3162-9748,West Inc,Fashion,1884.00,2024-01-13T03:44:24.135Z
3413-789971-00639#2024-01-08T13:02:31.751Z,3413-789971-00639,Cartwright Group,Food & Drink,1358.00,2024-01-08T13:02:31.751Z
5018624978271589#2024-01-17T07:49:01.654Z,5018624978271589,Murphy Group,Transportation,2462.00,2024-01-17T07:49:01.654Z
3455-220646-83888#2024-01-24T08:00:49.191Z,3455-220646-83888,"Rogahn, Ernser and Leffler",Food & Drink,1187.00,2024-01-24T08:00:49.191Z
5409-3231-1391-8629#2024-01-22T02:51:57.840Z,5409-3231-1391-8629,Kub - Johnson,Online Retail,307.00,2024-01-22T02:51:57.840Z
6759-4095-2594-8072-02#2024-01-25T22:16:12.830Z,6759-4095-2594-8072-02,Kautzer - Kutch,Fashion,1912.00,2024-01-25T22:16:12.830Z
6510-6232-9852-8476-7554#2024-01-12T07:18:36.702Z,6510-6232-9852-8476-7554,Carroll - Tillman,Groceries,356.00,2024-01-12T07:18:36.702Z
3454-141266-72432#2024-01-02T00:19:22.646Z,3454-141266-72432,"DuBuque, Conroy and Huels",Fashion,2586.00,2024-01-02T00:19:22.646Z
5038-6798-9728-7153#2024-01-06T19:31:22.021Z,5038-6798-9728-7153,Schamberger Inc,Transportation,1774.00,2024-01-06T19:31:22.021Z
4462364688257#2024-01-22T19:19:18.632Z,4462364688257,Yundt - Lockman,Groceries,1775.00,2024-01-22T19:19:18.632Z
3611-885367-0345#2024-01-08T18:05:27.358Z,3611-885367-0345,Crist Group,Online Retail,2147.00,2024-01-08T18:05:27.358Z
3528-2213-8010-2573#2024-01-04T02:22:04.937Z,3528-2213-8010-2573,Lynch - Doyle,Fashion,1608.00,2024-01-04T02:22:04.937Z
6767-4209-2340-4069-539#2024-01-23T11:18:10.745Z,6767-4209-2340-4069-539,"Strosin, Hoeger and Harris",Food & Drink,812.00,2024-01-23T11:18:10.745Z
6011-6216-1583-5564-1710#2024-01-23T11:52:08.553Z,6011-6216-1583-5564-1710,Kohler - Kulas,Fashion,2118.00,2024-01-23T11:52:08.553Z
3558-7652-5855-6818#2024-01-24T10:09:10.289Z,3558-7652-5855-6818,"Ledner, Armstrong and Hand",Online Retail,1976.00,2024-01-24T10:09:10.289Z
5020-9465-8633-6504#2024-01-15T08:50:02.659Z,5020-9465-8633-6504,Raynor and Sons,Groceries,2667.00,2024-01-15T08:50:02.659Z
3452-749292-62793#2024-01-23T12:09:48.701Z,3452-749292-62793,"Mayert, Krajcik and Conn",Fashion,472.00,2024-01-23T12:09:48.701Z
3732-358139-67065#2024-01-20T00:57:33.553Z,3732-358139-67065,"Wilkinson, MacGyver and Reinger",Fashion,2901.00,2024-01-20T00:57:33.553Z
6384-8106-8447-6687#2024-01-19T00:22:48.155Z,6384-8106-8447-6687,Koelpin - Bauch,Groceries,1299.00,2024-01-19T00:22:48.155Z
6767-5296-0749-8624-859#2024-01-01T23:38:56.365Z,6767-5296-0749-8624-859,Blanda - Konopelski,Food & Drink,1383.00,2024-01-01T23:38:56.365Z
6759-9289-5832-4989-52#2024-01-18T02:40:14.846Z,6759-9289-5832-4989-52,"Zulauf, West and Nicolas",Food & Drink,2978.00,2024-01-18T02:40:14.846Z
6759-4588-3290-0229#2024-01-26T15:13:28.702Z,6759-4588-3290-0229,"Parker, Heidenreich and Schaden",Transportation,761.00,2024-01-26T15:13:28.702Z
5018-4858-1420-2349#2024-01-05T07:17:29.091Z,5018-4858-1420-2349,"Mueller, Jakubowski and Bartell",Food & Drink,378.00,2024-01-05T07:17:29.091Z
6709555922069285#2024-01-30T05:54:59.244Z,6709555922069285,"Bogan, Labadie and Kuhlman",Fashion,272.00,2024-01-30T05:54:59.244Z
6767-7591-0428-7322#2024-01-10T19:24:42.685Z,6767-7591-0428-7322,Roob - Langworth,Online Retail,1357.00,2024-01-10T19:24:42.685Z
6395-3960-2473-9783#2024-01-10T09:39:30.154Z,6395-3960-2473-9783,O'Keefe and Sons,Food & Drink,1085.00,2024-01-10T09:39:30.154Z
6759-4588-3290-0229#2024-01-07T00:06:58.835Z,6759-4588-3290-0229,Donnelly - Jakubowski,Fashion,503.00,2024-01-07T00:06:58.835Z
6771-8958-7718-6954#2024-01-24T18:50:43.355Z,6771-8958-7718-6954,Orn - Waelchi,Online Retail,1733.00,2024-01-24T18:50:43.355Z
6767-7389-0449-3415-574#2024-01-13T14:46:47.587Z,6767-7389-0449-3415-574,Ward Inc,Online Retail,1673.00,2024-01-13T14:46:47.587Z
5485-2022-7134-1963#2024-01-07T01:40:52.379Z,5485-2022-7134-1963,Effertz - Runolfsdottir,Transportation,1611.00,2024-01-07T01:40:52.379Z
6011-2230-4319-9688#2024-01-29T15:20:56.147Z,6011-2230-4319-9688,DuBuque LLC,Groceries,2380.00,2024-01-29T15:20:56.147Z
6397-3727-6429-9054#2024-01-18T10:46:54.432Z,6397-3727-6429-9054,Christiansen and Sons,Transportation,2681.00,2024-01-18T10:46:54.432Z
3740-228591-59826#2024-01-26T16:42:08.780Z,3740-228591-59826,"Gorczany, O'Reilly and Tromp",Food & Drink,1891.00,2024-01-26T16:42:08.780Z
63045943982915841#2024-01-05T22:56:22.158Z,63045943982915841,Lindgren LLC,Fashion,428.00,2024-01-05T22:56:22.158Z
6389-6739-0481-9069#2024-01-30T13:02:09.397Z,6389-6739-0481-9069,Bergstrom - Hansen,Transportation,2487.00,2024-01-30T13:02:09.397Z
67590293294770496#2024-01-26T16:11:23.536Z,67590293294770496,Lang Group,Groceries,536.00,2024-01-26T16:11:23.536Z
6771339617632506#2024-01-12T18:13:04.901Z,6771339617632506,"Lehner, Waters and Hegmann",Online Retail,1480.00,2024-01-12T18:13:04.901Z
3556-1124-2433-2851#2024-01-21T13:11:45.432Z,3556-1124-2433-2851,"Wintheiser, Gutkowski and Schmitt",Transportation,1424.00,2024-01-21T13:11:45.432Z
6377-5617-6101-2809#2024-01-25T10:51:16.182Z,6377-5617-6101-2809,Brakus - Jacobs,Transportation,1377.00,2024-01-25T10:51:16.182Z
6771598839034649#2024-01-25T18:55:42.297Z,6771598839034649,Beier LLC,Groceries,2550.00,2024-01-25T18:55:42.297Z
6759-8816-1481-9761-29#2024-01-02T18:19:33.223Z,6759-8816-1481-9761-29,"Schaden, Bergnaum and Fay",Groceries,1008.00,2024-01-02T18:19:33.223Z
6371-3869-8253-3771#2024-01-03T08:49:50.368Z,6371-3869-8253-3771,Hyatt Group,Transportation,1905.00,2024-01-03T08:49:50.368Z
6451-6230-1889-7019-5544#2024-01-26T22:41:45.352Z,6451-6230-1889-7019-5544,Reichert - Luettgen,Groceries,1264.00,2024-01-26T22:41:45.352Z
6304-2333-3258-4884#2024-01-28T23:51:28.873Z,6304-2333-3258-4884,Stoltenberg - Sanford,Food & Drink,2713.00,2024-01-28T23:51:28.873Z
3736-489918-12137#2024-01-08T21:22:57.671Z,3736-489918-12137,"Kohler, Gutmann and Macejkovic",Online Retail,786.00,2024-01-08T21:22:57.671Z
50209993678638154300#2024-01-15T04:40:50.967Z,50209993678638154300,Thompson - Torp,Online Retail,62.00,2024-01-15T04:40:50.967Z
6767-9577-6148-7296-731#2024-01-29T04:39:17.423Z,6767-9577-6148-7296-731,"Bernhard, Kreiger and Casper",Fashion,2484.00,2024-01-29T04:39:17.423Z
6392-2238-8272-4660#2024-01-22T15:40:41.211Z,6392-2238-8272-4660,Reichel LLC,Fashion,1035.00,2024-01-22T15:40:41.211Z
3528-7871-5689-4734#2024-01-21T09:26:20.399Z,3528-7871-5689-4734,Rice - Fisher,Transportation,2951.00,2024-01-21T09:26:20.399Z
6771-8999-2716-7378#2024-01-21T11:30:00.028Z,6771-8999-2716-7378,"Kassulke, Nicolas and Larkin",Online Retail,162.00,2024-01-21T11:30:00.028Z
5485-2022-7134-1963#2024-01-25T17:55:28.388Z,5485-2022-7134-1963,Legros - Tromp,Fashion,2905.00,2024-01-25T17:55:28.388Z
6011-7577-5507-4670#2024-01-24T12:42:18.107Z,6011-7577-5507-4670,Murray LLC,Groceries,670.00,2024-01-24T12:42:18.107Z
5297-9995-6683-1289#2024-01-10T09:53:26.065Z,5297-9995-6683-1289,Gusikowski - Schumm,Online Retail,2779.00,2024-01-10T09:53:26.065Z
5492-1644-5604-4005#2024-01-26T08:30:03.556Z,5492-1644-5604-4005,Corkery - Hayes,Transportation,2311.00,2024-01-26T08:30:03.556Z
6759-6108-1252-6674-945#2024-01-05T02:47:39.506Z,6759-6108-1252-6674-945,"Witting, Monahan and Corkery",Online Retail,1226.00,2024-01-05T02:47:39.506Z
3689-484391-0336#2024-01-02T23:32:26.216Z,3689-484391-0336,Swaniawski - Corkery,Transportation,1783.00,2024-01-02T23:32:26.216Z
6759-5454-3847-0266-18#2024-01-17T21:05:16.746Z,6759-5454-3847-0266-18,Mraz and Sons,Fashion,1082.00,2024-01-17T21:05:16.746Z
6759-2472-1773-6997#2024-01-20T09:55:28.605Z,6759-2472-1773-6997,Weissnat and Sons,Groceries,2495.00,2024-01-20T09:55:28.605Z
6767-3882-5216-9940#2024-01-08T02:31:13.672Z,6767-3882-5216-9940,Quitzon - Berge,Fashion,1967.00,2024-01-08T02:31:13.672Z
6709846112904542#2024-01-12T21:14:34.651Z,6709846112904542,Bernhard and Sons,Transportation,141.00,2024-01-12T21:14:34.651Z
3495-593513-43863#2024-01-21T21:53:56.488Z,3495-593513-43863,"Schmitt, McDermott and Jones",Transportation,1850.00,2024-01-21T21:53:56.488Z
5453-8869-3162-9748#2024-01-28T19:26:54.684Z,5453-8869-3162-9748,Leuschke Group,Groceries,1452.00,2024-01-28T19:26:54.684Z
6767-4016-7829-2665#2024-01-28T09:38:02.263Z,6767-4016-7829-2665,"Shanahan, Pacocha and Kulas",Online Retail,1878.00,2024-01-28T09:38:02.263Z
6762036994417896#2024-01-14T02:37:43.908Z,6762036994417896,Walsh Inc,Food & Drink,1812.00,2024-01-14T02:37:43.908Z
6391-9907-6581-2959#2024-01-19T03:26:14.817Z,6391-9907-6581-2959,Kohler and Sons,Food & Drink,1866.00,2024-01-19T03:26:14.817Z
6767-8759-3957-4851-332#2024-01-09T07:17:12.649Z,6767-8759-3957-4851-332,Ebert - Russel,Transportation,251.00,2024-01-09T07:17:12.649Z
6709860868908706#2024-01-08T08:19:44.353Z,6709860868908706,Rowe and Sons,Fashion,962.00,2024-01-08T08:19:44.353Z
4334-2567-2300-2025#2024-01-08T05:50:57.773Z,4334-2567-2300-2025,Legros - Rogahn,Fashion,687.00,2024-01-08T05:50:57.773Z
3528-7871-5689-4734#2024-01-22T13:04:38.398Z,3528-7871-5689-4734,Quigley Group,Food & Drink,987.00,2024-01-22T13:04:38.398Z
6767-5604-4256-8446-56#2024-01-16T06:50:53.417Z,6767-5604-4256-8446-56,"Koelpin, Graham and Zulauf",Online Retail,1878.00,2024-01-16T06:50:53.417Z
6456-6285-1651-1854-5557#2024-01-29T06:33:18.187Z,6456-6285-1651-1854-5557,"Denesik, Kozey and Lemke",Groceries,744.00,2024-01-29T06:33:18.187Z
58936602728334137#2024-01-15T10:33:54.707Z,58936602728334137,"Kohler, Olson and Watsica",Online Retail,1570.00,2024-01-15T10:33:54.707Z
6771574575855335060#2024-01-30T06:38:30.616Z,6771574575855335060,"Bogisich, Stroman and Osinski",Fashion,2371.00,2024-01-30T06:38:30.616Z
5038-0301-1834-0407#2024-01-19T18:57:44.462Z,5038-0301-1834-0407,Quigley and Sons,Groceries,2831.00,2024-01-19T18:57:44.462Z
3645-197812-4421#2024-01-21T17:52:06.029Z,3645-197812-4421,"Bechtelar, Okuneva and Schaefer",Food & Drink,4.00,2024-01-21T17:52:06.029Z
3712-907167-05692#2024-01-03T06:35:26.845Z,3712-907167-05692,Hauck Group,Groceries,1069.00,2024-01-03T06:35:26.845Z
6011-6214-4806-5278-3942#2024-01-16T00:28:41.561Z,6011-6214-4806-5278-3942,Schneider - Goyette,Transportation,1442.00,2024-01-16T00:28:41.561Z
5020-6347-2247-4963#2024-01-25T02:42:58.720Z,5020-6347-2247-4963,Gutmann Group,Groceries,2694.00,2024-01-25T02:42:58.720Z
3431-798210-92648#2024-01-25T08:13:20.691Z,3431-798210-92648,"Adams, Auer and Hickle",Food & Drink,1889.00,2024-01-25T08:13:20.691Z
6762036994417896#2024-01-05T19:49:34.596Z,6762036994417896,Stroman and Sons,Transportation,2985.00,2024-01-05T19:49:34.596Z
3528-6056-0826-8218#2024-01-15T23:01:10.936Z,3528-6056-0826-8218,Bahringer Inc,Online Retail,1309.00,2024-01-15T23:01:10.936Z
6767-4745-2118-7896-949#2024-01-11T04:54:14.712Z,6767-4745-2118-7896-949,"Lind, Gottlieb and VonRueden",Online Retail,2120.00,2024-01-11T04:54:14.712Z
6530-1825-9329-5191#2024-01-22T16:30:56.985Z,6530-1825-9329-5191,Davis - Lockman,Fashion,2771.00,2024-01-22T16:30:56.985Z
6304865770852222#2024-01-12T02:57:46.357Z,6304865770852222,Nader - Blick,Online Retail,173.00,2024-01-12T02:57:46.357Z
6771-8974-5217-1724#2024-01-12T00:23:06.921Z,6771-8974-5217-1724,Weimann - Thompson,Transportation,1762.00,2024-01-12T00:23:06.921Z
5430-2451-8808-2309#2024-01-09T12:32:59.513Z,5430-2451-8808-2309,Quigley - Gulgowski,Transportation,80.00,2024-01-09T12:32:59.513Z
4069-3510-4817-8062#2024-01-30T05:50:38.586Z,4069-3510-4817-8062,"Mraz, Waelchi and Hessel",Transportation,2618.00,2024-01-30T05:50:38.586Z
6759-7254-4775-6695#2024-01-29T23:57:35.966Z,6759-7254-4775-6695,Kertzmann LLC,Transportation,1414.00,2024-01-29T23:57:35.966Z
6549-6208-4558-8625-9132#2024-01-15T19:36:12.364Z,6549-6208-4558-8625-9132,Grant - Schmidt,Transportation,691.00,2024-01-15T19:36:12.364Z
3528-8755-8628-1265#2024-01-29T01:42:51.854Z,3528-8755-8628-1265,"Cummings, Pagac and Anderson",Food & Drink,1606.00,2024-01-29T01:42:51.854Z
6771089623574980333#2024-01-26T15:10:34.751Z,6771089623574980333,Spinka LLC,Food & Drink,2382.00,2024-01-26T15:10:34.751Z
6304710496944780#2024-01-04T10:33:24.197Z,6304710496944780,Bernier - Berge,Transportation,2531.00,2024-01-04T10:33:24.197Z
6011-0893-9186-0191#2024-01-17T18:14:42.589Z,6011-0893-9186-0191,Schultz Inc,Food & Drink,1607.00,2024-01-17T18:14:42.589Z
670671792864452933#2024-01-18T16:07:12.502Z,670671792864452933,Wiza - Kub,Fashion,2085.00,2024-01-18T16:07:12.502Z
5038-9569-1667-8350#2024-01-23T19:44:40.283Z,5038-9569-1667-8350,"Jenkins, Harvey and Willms",Fashion,2522.00,2024-01-23T19:44:40.283Z
6706115884771385692#2024-01-03T06:37:27.151Z,6706115884771385692,Leuschke - Schultz,Transportation,1516.00,2024-01-03T06:37:27.151Z
6759-4570-4293-1758-02#2024-01-12T02:27:50.052Z,6759-4570-4293-1758-02,Kshlerin - Turner,Groceries,1080.00,2024-01-12T02:27:50.052Z
6767-7591-0428-7322#2024-01-02T04:08:06.968Z,6767-7591-0428-7322,Stark LLC,Food & Drink,1648.00,2024-01-02T04:08:06.968Z
6759-9289-7159-0703-043#2024-01-06T10:59:04.673Z,6759-9289-7159-0703-043,"Rau, Hirthe and Watsica",Fashion,71.00,2024-01-06T10:59:04.673Z
3584-0318-6077-3210#2024-01-15T00:29:12.840Z,3584-0318-6077-3210,O'Kon - Rippin,Fashion,1722.00,2024-01-15T00:29:12.840Z
5038-9887-9675-3383#2024-01-14T19:42:06.361Z,5038-9887-9675-3383,"Ratke, Davis and Senger",Transportation,2073.00,2024-01-14T19:42:06.361Z
5038964809159821969#2024-01-28T21:49:23.849Z,5038964809159821969,"Thompson, Collier and Wisoky",Online Retail,1332.00,2024-01-28T21:49:23.849Z
6759-9347-1911-4402-21#2024-01-25T07:07:33.304Z,6759-9347-1911-4402-21,Moen - Douglas,Food & Drink,2311.00,2024-01-25T07:07:33.304Z
63046735205940492#2024-01-05T04:30:38.709Z,63046735205940492,"Sawayn, Bergnaum and Kub",Food & Drink,1931.00,2024-01-05T04:30:38.709Z
6759-6721-2487-4750-64#2024-01-11T08:27:43.414Z,6759-6721-2487-4750-64,Johns and Sons,Groceries,1960.00,2024-01-11T08:27:43.414Z
5293-2822-9815-5341#2024-01-25T08:38:45.329Z,5293-2822-9815-5341,"Torp, Hodkiewicz and Wyman",Groceries,2830.00,2024-01-25T08:38:45.329Z
3433-724221-11244#2024-01-01T04:58:37.807Z,3433-724221-11244,Renner Group,Transportation,37.00,2024-01-01T04:58:37.807Z
677127967772849421#2024-01-14T20:47:59.565Z,677127967772849421,Christiansen and Sons,Groceries,2706.00,2024-01-14T20:47:59.565Z
6011-5210-6663-6860#2024-01-19T03:27:52.155Z,6011-5210-6663-6860,Schinner and Sons,Fashion,2911.00,2024-01-19T03:27:52.155Z
6771-8912-0666-2427#2024-01-03T09:47:30.916Z,6771-8912-0666-2427,"Sawayn, Lebsack and Bogisich",Transportation,552.00,2024-01-03T09:47:30.916Z
6759-0126-8962-6542#2024-01-16T15:55:04.769Z,6759-0126-8962-6542,Balistreri Inc,Online Retail,1893.00,2024-01-16T15:55:04.769Z
6384-8106-8447-6687#2024-01-16T10:33:52.228Z,6384-8106-8447-6687,Daniel and Sons,Transportation,218.00,2024-01-16T10:33:52.228Z
6396-7914-5536-5042#2024-01-27T17:34:26.647Z,6396-7914-5536-5042,Bednar - Gleason,Groceries,1410.00,2024-01-27T17:34:26.647Z
