,card,merchant,category,amount,transaction_date
3492-272478-41611#2023-10-07T12:29:31.922Z,3492-272478-41611,Romaguera Inc,Fashion,2354.00,2023-10-07T12:29:31.922Z
670686179317001470#2023-12-30T01:42:30.818Z,670686179317001470,Torp - Greenholt,Food & Drink,2834.00,2023-12-30T01:42:30.818Z
4187-4366-4266-0438#2023-10-29T14:30:17.522Z,4187-4366-4266-0438,Ziemann - Mann,Transportation,1102.00,2023-10-29T14:30:17.522Z
6759-7447-7689-3202-383#2023-03-18T10:22:39.975Z,6759-7447-7689-3202-383,Kohler - Hansen,Online Retail,2891.00,2023-03-18T10:22:39.975Z
6759-3995-5267-7800-62#2023-06-13T15:04:56.536Z,6759-3995-5267-7800-62,Roberts Group,Transportation,2744.00,2023-06-13T15:04:56.536Z
6771-8923-7805-6414#2023-04-16T16:40:42.153Z,6771-8923-7805-6414,Hilpert - Yost,Transportation,370.00,2023-04-16T16:40:42.153Z
5018631025925612#2023-01-29T14:31:34.107Z,5018631025925612,"Langworth, Mraz and Mohr",Groceries,1975.00,2023-01-29T14:31:34.107Z
6706778840118553#2023-03-18T03:04:00.084Z,6706778840118553,Kuphal Inc,Fashion,1331.00,2023-03-18T03:04:00.084Z
6759-1674-0078-6697-629#2023-04-30T18:02:27.399Z,6759-1674-0078-6697-629,Waelchi - Carroll,Online Retail,1169.00,2023-04-30T18:02:27.399Z
3740-640660-75692#2023-09-28T06:01:13.920Z,3740-640660-75692,Bechtelar - Davis,Online Retail,2345.00,2023-09-28T06:01:13.920Z
6709368688504604065#2023-09-28T13:42:38.038Z,6709368688504604065,"Strosin, Carter and Bogan",Online Retail,2052.00,2023-09-28T13:42:38.038Z
5280-6430-4588-2153#2023-02-19T22:13:00.240Z,5280-6430-4588-2153,Parker Inc,Transportation,1357.00,2023-02-19T22:13:00.240Z
5433-9835-9595-8235#2023-01-05T04:41:30.696Z,5433-9835-9595-8235,Larkin - Connelly,Online Retail,2385.00,2023-01-05T04:41:30.696Z
58932671057534223#2023-01-12T18:18:27.354Z,58932671057534223,Olson Inc,Food & Drink,1951.00,2023-01-12T18:18:27.354Z
6709370149228804313#2023-09-18T03:48:35.741Z,6709370149228804313,Koch - Crona,Transportation,209.00,2023-09-18T03:48:35.741Z
6767-5767-8664-2232-603#2023-05-06T13:46:14.262Z,6767-5767-8664-2232-603,Mitchell - Schuppe,Online Retail,209.00,2023-05-06T13:46:14.262Z
6767-9773-5781-7524-10#2023-07-11T01:06:13.742Z,6767-9773-5781-7524-10,Fritsch - Pouros,Transportation,2885.00,2023-07-11T01:06:13.742Z
5038511622371375559#2023-01-03T14:16:06.672Z,5038511622371375559,"Koss, Paucek and Welch",Online Retail,1135.00,2023-01-03T14:16:06.672Z
5038-3031-1853-1956#2023-07-05T21:27:48.279Z,5038-3031-1853-1956,Hamill - Shanahan,Online Retail,688.00,2023-07-05T21:27:48.279Z
3753-469076-04486#2023-05-24T19:58:15.859Z,3753-469076-04486,Boyle - Collins,Transportation,2474.00,2023-05-24T19:58:15.859Z
6767-7419-7720-9159-764#2023-05-12T19:51:50.783Z,6767-7419-7720-9159-764,Littel and Sons,Transportation,651.00,2023-05-12T19:51:50.783Z
3023-700934-7537#2023-05-20T16:17:37.731Z,3023-700934-7537,Pollich - Yundt,Online Retail,2280.00,2023-05-20T16:17:37.731Z
3029-667806-3460#2023-11-10T10:02:03.973Z,3029-667806-3460,Bradtke - Doyle,Groceries,759.00,2023-11-10T10:02:03.973Z
6767-4004-4921-7464#2023-12-10T14:15:57.030Z,6767-4004-4921-7464,"Bechtelar, Williamson and Balistreri",Groceries,2491.00,2023-12-10T14:15:57.030Z
3739-411522-61701#2023-01-05T06:24:00.095Z,3739-411522-61701,Thompson - Moore,Groceries,3000.00,2023-01-05T06:24:00.095Z
5018-4192-6631-9863#2023-04-01T06:02:30.919Z,5018-4192-6631-9863,Ortiz - Rosenbaum,Fashion,74.00,2023-04-01T06:02:30.919Z
6304117304813340#2023-07-02T07:13:46.320Z,6304117304813340,Barrows Group,Food & Drink,1372.00,2023-07-02T07:13:46.320Z
6767-7419-7720-9159-764#2023-03-02T05:36:10.644Z,6767-7419-7720-9159-764,"Reynolds, Heathcote and Weber",Fashion,1111.00,2023-03-02T05:36:10.644Z
6771397234845984#2023-09-09T20:03:32.394Z,6771397234845984,"O'Keefe, Connelly and Reynolds",Fashion,2647.00,2023-09-09T20:03:32.394Z
6548-3134-1137-6059#2023-01-15T01:02:08.626Z,6548-3134-1137-6059,Berge and Sons,Food & Drink,352.00,2023-01-15T01:02:08.626Z
3029-667806-3460#2023-11-28T09:57:14.630Z,3029-667806-3460,Carroll - Zemlak,Fashion,1173.00,2023-11-28T09:57:14.630Z
6771-8925-8004-2277#2023-06-08T12:46:58.810Z,6771-8925-8004-2277,Wuckert LLC,Food & Drink,2335.00,2023-06-08T12:46:58.810Z
3528-5972-9752-4623#2023-06-21T09:26:05.034Z,3528-5972-9752-4623,"McKenzie, Raynor and O'Reilly",Food & Drink,2695.00,2023-06-21T09:26:05.034Z
6767-7083-5585-2583-32#2023-11-03T20:00:19.633Z,6767-7083-5585-2583-32,Lemke and Sons,Groceries,15.00,2023-11-03T20:00:19.633Z
6767-2328-1378-4446-589#2023-08-28T06:20:16.693Z,6767-2328-1378-4446-589,Klein - Walter,Food & Drink,2514.00,2023-08-28T06:20:16.693Z
6759-0796-5532-2778#2023-01-15T13:28:05.475Z,6759-0796-5532-2778,Durgan Group,Fashion,801.00,2023-01-15T13:28:05.475Z
3488-333882-47079#2023-11-21T21:55:05.781Z,3488-333882-47079,Koelpin - Von,Groceries,953.00,2023-11-21T21:55:05.781Z
6767-0948-1639-5743-29#2023-12-27T00:51:01.500Z,6767-0948-1639-5743-29,"Lesch, Cruickshank and Lesch",Transportation,428.00,2023-12-27T00:51:01.500Z
67610205216829411512#2023-10-13T15:38:24.392Z,67610205216829411512,Pfeffer - Upton,Fashion,53.00,2023-10-13T15:38:24.392Z
5018631025925612#2023-05-15T10:56:37.765Z,5018631025925612,Abbott and Sons,Food & Drink,139.00,2023-05-15T10:56:37.765Z
3739-411522-61701#2023-12-14T11:47:50.910Z,3739-411522-61701,Halvorson Inc,Groceries,2989.00,2023-12-14T11:47:50.910Z
3628-352712-3939#2023-06-30T10:39:27.906Z,3628-352712-3939,Senger - Purdy,Online Retail,1163.00,2023-06-30T10:39:27.906Z
6759-1225-6481-4272-962#2023-02-23T21:01:59.407Z,6759-1225-6481-4272-962,Schowalter - Gottlieb,Food & Drink,1049.00,2023-02-23T21:01:59.407Z
6767-8996-1836-7348-78#2023-05-23T22:12:42.613Z,6767-8996-1836-7348-78,Koelpin - Baumbach,Online Retail,2372.00,2023-05-23T22:12:42.613Z
5038-1061-0191-3499#2023-07-27T00:46:17.401Z,5038-1061-0191-3499,Beier Inc,Transportation,2173.00,2023-07-27T00:46:17.401Z
6386-9164-0114-7960#2023-09-03T23:08:34.240Z,6386-9164-0114-7960,Jast - O'Conner,Online Retail,2545.00,2023-09-03T23:08:34.240Z
5440-4432-6848-6940#2023-03-22T23:03:03.171Z,5440-4432-6848-6940,"Gerlach, Marvin and Ratke",Food & Drink,206.00,2023-03-22T23:03:03.171Z
6493-6289-7987-6414-6915#2023-01-22T01:51:46.637Z,6493-6289-7987-6414-6915,Brekke Inc,Food & Drink,287.00,2023-01-22T01:51:46.637Z
5549-0242-4529-6972#2023-07-11T16:54:21.053Z,5549-0242-4529-6972,Metz - Berge,Food & Drink,1695.00,2023-07-11T16:54:21.053Z
3611-959773-0718#2023-02-12T23:28:46.217Z,3611-959773-0718,"Torp, Fadel and Brown",Transportation,169.00,2023-02-12T23:28:46.217Z
670930649077221272#2023-03-13T19:43:56.921Z,670930649077221272,Hoppe Inc,Fashion,2831.00,2023-03-13T19:43:56.921Z
3565-3112-9406-2924#2023-11-25T11:23:31.919Z,3565-3112-9406-2924,Champlin Inc,Groceries,866.00,2023-11-25T11:23:31.919Z
6767-3957-5215-5303#2023-06-10T07:58:50.958Z,6767-3957-5215-5303,"Wolf, Pfeffer and Breitenberg",Online Retail,2696.00,2023-06-10T07:58:50.958Z
6771304542602040#2023-07-31T04:36:31.417Z,6771304542602040,Hettinger - Nikolaus,Food & Drink,128.00,2023-07-31T04:36:31.417Z
503801899682446579#2023-10-30T04:29:40.914Z,503801899682446579,Wiza - Terry,Food & Drink,2105.00,2023-10-30T04:29:40.914Z
6771-8954-4845-9468#2023-03-22T15:48:21.413Z,6771-8954-4845-9468,Abbott - Labadie,Groceries,1371.00,2023-03-22T15:48:21.413Z
4680000923214#2023-01-20T02:15:19.306Z,4680000923214,Nitzsche Inc,Transportation,2432.00,2023-01-20T02:15:19.306Z
3534-4156-8702-2375#2023-07-02T13:25:01.579Z,3534-4156-8702-2375,Kulas and Sons,Online Retail,2553.00,2023-07-02T13:25:01.579Z
3436-574113-57828#2023-06-27T18:49:33.244Z,3436-574113-57828,"Bosco, Streich and Aufderhar",Groceries,1151.00,2023-06-27T18:49:33.244Z
4639-5280-2262-3756#2023-02-21T07:55:58.549Z,4639-5280-2262-3756,Davis LLC,Groceries,842.00,2023-02-21T07:55:58.549Z
6373-3076-5388-3871#2023-01-23T00:14:08.219Z,6373-3076-5388-3871,Fahey and Sons,Fashion,303.00,2023-01-23T00:14:08.219Z
6496-1043-2885-8186#2023-09-14T12:28:32.728Z,6496-1043-2885-8186,Beer - Marvin,Food & Drink,928.00,2023-09-14T12:28:32.728Z
5020413565775648716#2023-02-27T22:54:44.390Z,5020413565775648716,Thiel - Skiles,Food & Drink,269.00,2023-02-27T22:54:44.390Z
6478-3830-0385-2019#2023-08-02T02:14:43.635Z,6478-3830-0385-2019,Maggio Group,Groceries,2211.00,2023-08-02T02:14:43.635Z
3668-930835-8462#2023-09-27T16:16:48.982Z,3668-930835-8462,"Osinski, Rolfson and Dickinson",Food & Drink,2381.00,2023-09-27T16:16:48.982Z
5038-1061-0191-3499#2023-11-12T09:55:00.360Z,5038-1061-0191-3499,"Weber, Hartmann and Hermiston",Food & Drink,2600.00,2023-11-12T09:55:00.360Z
6767-4399-3423-9880-668#2023-03-11T17:07:02.152Z,6767-4399-3423-9880-668,Bartell - Lang,Food & Drink,2264.00,2023-03-11T17:07:02.152Z
6462-6297-3200-9912-9529#2023-06-26T04:05:28.807Z,6462-6297-3200-9912-9529,"Kertzmann, Mayert and Oberbrunner",Groceries,1844.00,2023-06-26T04:05:28.807Z
4899873832084#2023-05-17T12:29:42.587Z,4899873832084,Littel - Ruecker,Fashion,2888.00,2023-05-17T12:29:42.587Z
6011-6207-0714-1853-2050#2023-06-20T20:40:19.594Z,6011-6207-0714-1853-2050,Armstrong and Sons,Food & Drink,1181.00,2023-06-20T20:40:19.594Z
6771-8905-5492-7374#2023-05-06T14:47:20.010Z,6771-8905-5492-7374,Bechtelar - Thiel,Groceries,124.00,2023-05-06T14:47:20.010Z
50180369258529800904#2023-05-06T00:32:17.384Z,50180369258529800904,"Mohr, Wisoky and Jones",Online Retail,1821.00,2023-05-06T00:32:17.384Z
6011-3459-7877-9174#2023-08-07T16:28:18.322Z,6011-3459-7877-9174,Glover - Brakus,Online Retail,1125.00,2023-08-07T16:28:18.322Z
6386-9164-0114-7960#2023-01-15T22:17:53.750Z,6386-9164-0114-7960,"Heathcote, Veum and Ryan",Groceries,966.00,2023-01-15T22:17:53.750Z
4507-7366-1080-9278#2023-05-23T09:57:03.140Z,4507-7366-1080-9278,"Murazik, Ernser and Waelchi",Food & Drink,727.00,2023-05-23T09:57:03.140Z
3528-9584-3897-2610#2023-01-18T11:20:35.292Z,3528-9584-3897-2610,"Fisher, Huels and Rosenbaum",Food & Drink,2294.00,2023-01-18T11:20:35.292Z
6767-3727-3186-3210-55#2023-06-11T22:58:16.125Z,6767-3727-3186-3210-55,Hoppe and Sons,Groceries,1506.00,2023-06-11T22:58:16.125Z
6771-8956-8091-0673#2023-06-06T01:33:14.009Z,6771-8956-8091-0673,Rempel and Sons,Online Retail,1659.00,2023-06-06T01:33:14.009Z
5423-5224-5627-6014#2023-05-10T10:01:10.954Z,5423-5224-5627-6014,"Stiedemann, Prosacco and McCullough",Fashion,678.00,2023-05-10T10:01:10.954Z
3722-637146-86023#2023-03-09T02:03:05.761Z,3722-637146-86023,Parker Group,Fashion,2181.00,2023-03-09T02:03:05.761Z
6767-2907-4864-1083-648#2023-02-19T03:17:50.169Z,6767-2907-4864-1083-648,Carter and Sons,Fashion,2175.00,2023-02-19T03:17:50.169Z
3576-9524-0673-8856#2023-12-13T07:53:03.225Z,3576-9524-0673-8856,"Cruickshank, Block and Nikolaus",Transportation,1172.00,2023-12-13T07:53:03.225Z
6011-0511-8967-8961#2023-08-03T01:08:05.561Z,6011-0511-8967-8961,"Roob, Kertzmann and Veum",Food & Drink,2662.00,2023-08-03T01:08:05.561Z
4082898298157#2023-04-05T00:49:35.967Z,4082898298157,"Torp, Dickinson and Collins",Food & Drink,2628.00,2023-04-05T00:49:35.967Z
5497-9011-1146-0216#2023-07-30T10:32:12.382Z,5497-9011-1146-0216,Corkery - Thompson,Fashion,740.00,2023-07-30T10:32:12.382Z
3645-039600-6962#2023-02-16T12:09:55.813Z,3645-039600-6962,Kilback - Hauck,Fashion,406.00,2023-02-16T12:09:55.813Z
3529-2165-4125-2282#2023-07-07T09:33:11.747Z,3529-2165-4125-2282,Dickens and Sons,Fashion,2962.00,2023-07-07T09:33:11.747Z
6767-7006-2673-8607-35#2023-04-08T17:23:05.464Z,6767-7006-2673-8607-35,Steuber and Sons,Transportation,1843.00,2023-04-08T17:23:05.464Z
6767-2361-2210-9895#2023-06-05T08:14:29.720Z,6767-2361-2210-9895,Hirthe - Feil,Transportation,2302.00,2023-06-05T08:14:29.720Z
6304192337644079#2023-03-11T13:18:49.595Z,6304192337644079,"Tremblay, Ledner and Will",Transportation,2500.00,2023-03-11T13:18:49.595Z
6502-6282-6503-9486-5321#2023-09-04T07:53:31.873Z,6502-6282-6503-9486-5321,"Kertzmann, Quitzon and Senger",Groceries,1226.00,2023-09-04T07:53:31.873Z
5467-4361-3550-7854#2023-05-13T16:42:01.198Z,5467-4361-3550-7854,Orn - Abshire,Online Retail,249.00,2023-05-13T16:42:01.198Z
6484-9834-3420-2031#2023-07-10T15:50:41.832Z,6484-9834-3420-2031,Predovic LLC,Online Retail,1177.00,2023-07-10T15:50:41.832Z
6709279068390697465#2023-08-13T08:47:44.236Z,6709279068390697465,Prosacco - Collins,Online Retail,1375.00,2023-08-13T08:47:44.236Z
6771-8906-5032-9293#2023-04-15T15:46:36.593Z,6771-8906-5032-9293,Fisher LLC,Transportation,1467.00,2023-04-15T15:46:36.593Z
67620173392700234161#2023-08-13T16:37:17.574Z,67620173392700234161,Romaguera - Considine,Groceries,542.00,2023-08-13T16:37:17.574Z
3528-3337-1225-9433#2023-11-08T14:26:12.711Z,3528-3337-1225-9433,"Steuber, Mante and Gerhold",Fashion,350.00,2023-11-08T14:26:12.711Z
676304774391849577#2023-06-06T08:59:02.761Z,676304774391849577,Mraz Group,Groceries,353.00,2023-06-06T08:59:02.761Z
3611-959773-0718#2023-08-17T17:13:57.878Z,3611-959773-0718,Schinner Inc,Fashion,2566.00,2023-08-17T17:13:57.878Z
6767-4340-4140-1846#2023-10-17T19:46:14.236Z,6767-4340-4140-1846,Pagac - Sauer,Online Retail,2510.00,2023-10-17T19:46:14.236Z
5400-9987-3012-2736#2023-03-27T13:26:54.162Z,5400-9987-3012-2736,"Klocko, Goodwin and Huel",Groceries,2828.00,2023-03-27T13:26:54.162Z
6767-5280-5421-5843#2023-12-07T06:13:15.544Z,6767-5280-5421-5843,"Goldner, Prosacco and Frami",Food & Drink,1349.00,2023-12-07T06:13:15.544Z
6767-7006-2673-8607-35#2023-02-25T10:57:20.393Z,6767-7006-2673-8607-35,"Roberts, Skiles and Willms",Fashion,1508.00,2023-02-25T10:57:20.393Z
4768773097439#2023-02-16T19:38:58.960Z,4768773097439,"Bailey, Fisher and Powlowski",Groceries,658.00,2023-02-16T19:38:58.960Z
5458-6484-7518-3838#2023-06-16T23:41:09.011Z,5458-6484-7518-3838,Ortiz Group,Food & Drink,864.00,2023-06-16T23:41:09.011Z
4680000923214#2023-04-29T23:10:34.667Z,4680000923214,Klocko - Roob,Fashion,2711.00,2023-04-29T23:10:34.667Z
4849-1855-1447-8524#2023-04-18T14:07:11.799Z,4849-1855-1447-8524,"Rath, Greenholt and Franecki",Online Retail,932.00,2023-04-18T14:07:11.799Z
3528-7433-2767-5239#2023-11-02T09:56:01.810Z,3528-7433-2767-5239,Hirthe Group,Online Retail,11.00,2023-11-02T09:56:01.810Z
3529-0819-3878-2568#2023-02-12T11:51:04.628Z,3529-0819-3878-2568,Lindgren - Brekke,Groceries,1724.00,2023-02-12T11:51:04.628Z
6771-8932-8157-9484#2023-12-01T18:14:12.021Z,6771-8932-8157-9484,"Collier, Gusikowski and Hayes",Fashion,1504.00,2023-12-01T18:14:12.021Z
6376-0415-8058-7787#2023-04-17T11:30:47.120Z,6376-0415-8058-7787,"Bode, Gibson and Jenkins",Transportation,2745.00,2023-04-17T11:30:47.120Z
5458-6124-7839-4719#2023-02-14T20:46:16.222Z,5458-6124-7839-4719,"O'Conner, Altenwerth and Bins",Transportation,1948.00,2023-02-14T20:46:16.222Z
3488-333882-47079#2023-09-21T08:40:30.782Z,3488-333882-47079,Johnson - Cummerata,Online Retail,1466.00,2023-09-21T08:40:30.782Z
4721025095156#2023-05-21T09:35:59.826Z,4721025095156,"Wyman, Streich and Lindgren",Online Retail,119.00,2023-05-21T09:35:59.826Z
3005-195370-9497#2023-09-05T08:07:21.653Z,3005-195370-9497,Nicolas - Rohan,Transportation,1299.00,2023-09-05T08:07:21.653Z
6475-0938-6119-6044#2023-10-15T01:12:26.735Z,6475-0938-6119-6044,"Moore, Prosacco and Berge",Online Retail,277.00,2023-10-15T01:12:26.735Z
3784-363721-86999#2023-10-29T02:05:13.131Z,3784-363721-86999,"Hodkiewicz, Balistreri and Klocko",Transportation,1995.00,2023-10-29T02:05:13.131Z
630463796243913263#2023-06-26T16:12:13.127Z,630463796243913263,Quitzon - Konopelski,Food & Drink,181.00,2023-06-26T16:12:13.127Z
3529-0361-3938-5389#2023-12-13T21:18:03.618Z,3529-0361-3938-5389,Cruickshank LLC,Online Retail,781.00,2023-12-13T21:18:03.618Z
6767-9497-1207-0571-09#2023-02-10T02:30:52.580Z,6767-9497-1207-0571-09,King - Kub,Food & Drink,339.00,2023-02-10T02:30:52.580Z
3443-425912-92876#2023-09-08T03:39:00.879Z,3443-425912-92876,Ruecker - Wisoky,Groceries,439.00,2023-09-08T03:39:00.879Z
3030-858518-3230#2023-12-07T11:40:14.679Z,3030-858518-3230,Gleichner LLC,Fashion,169.00,2023-12-07T11:40:14.679Z
5467-4361-3550-7854#2023-12-11T08:56:57.487Z,5467-4361-3550-7854,"Schinner, Veum and Mertz",Food & Drink,2961.00,2023-12-11T08:56:57.487Z
6771-8933-7162-5791#2023-07-22T20:44:44.684Z,6771-8933-7162-5791,"Lebsack, Crooks and Barrows",Groceries,1955.00,2023-07-22T20:44:44.684Z
6011-4243-3365-3737#2023-02-17T07:44:50.837Z,6011-4243-3365-3737,Bernhard LLC,Groceries,2342.00,2023-02-17T07:44:50.837Z
6771951888617030#2023-03-24T22:05:21.181Z,6771951888617030,Kessler Inc,Fashion,835.00,2023-03-24T22:05:21.181Z
6304053263845850#2023-04-15T17:43:32.528Z,6304053263845850,"Schulist, DuBuque and Cummerata",Fashion,557.00,2023-04-15T17:43:32.528Z
3613-213557-9729#2023-03-10T22:33:16.040Z,3613-213557-9729,Kulas - Dooley,Fashion,2357.00,2023-03-10T22:33:16.040Z
3541-3768-9324-3257#2023-07-17T13:26:50.716Z,3541-3768-9324-3257,Roberts - Bernier,Transportation,641.00,2023-07-17T13:26:50.716Z
6759214015569970879#2023-03-26T02:09:38.039Z,6759214015569970879,Herzog - Friesen,Fashion,2682.00,2023-03-26T02:09:38.039Z
4324986393783#2023-02-12T11:22:46.190Z,4324986393783,Reichel LLC,Fashion,1764.00,2023-02-12T11:22:46.190Z
3722-280784-28197#2023-04-22T22:23:35.845Z,3722-280784-28197,Hickle - Schultz,Food & Drink,2744.00,2023-04-22T22:23:35.845Z
6771-8954-4845-9468#2023-02-10T18:57:41.242Z,6771-8954-4845-9468,Hauck and Sons,Fashion,1433.00,2023-02-10T18:57:41.242Z
3546-2813-5263-8341#2023-07-10T03:41:57.900Z,3546-2813-5263-8341,Robel - Renner,Transportation,2927.00,2023-07-10T03:41:57.900Z
6759-6607-3549-8438-016#2023-12-13T10:02:29.051Z,6759-6607-3549-8438-016,Upton Inc,Online Retail,997.00,2023-12-13T10:02:29.051Z
6495-6268-6534-7282-0439#2023-04-29T22:15:43.461Z,6495-6268-6534-7282-0439,Senger - Kutch,Transportation,2223.00,2023-04-29T22:15:43.461Z
5224-0415-5978-3579#2023-08-03T14:25:09.439Z,5224-0415-5978-3579,Steuber and Sons,Fashion,2199.00,2023-08-03T14:25:09.439Z
6709066528571963#2023-09-11T02:43:46.212Z,6709066528571963,Barton - Schmeler,Online Retail,2401.00,2023-09-11T02:43:46.212Z
3637-429515-8189#2023-09-03T13:36:23.002Z,3637-429515-8189,Hills - Volkman,Transportation,763.00,2023-09-03T13:36:23.002Z
6376-0415-8058-7787#2023-02-02T13:03:20.774Z,6376-0415-8058-7787,"Larkin, Runolfsdottir and Herzog",Food & Drink,1226.00,2023-02-02T13:03:20.774Z
5522-9764-4407-1954#2023-02-19T02:35:13.894Z,5522-9764-4407-1954,Baumbach LLC,Online Retail,2515.00,2023-02-19T02:35:13.894Z
4324986393783#2023-11-21T05:51:25.541Z,4324986393783,Toy - Nikolaus,Online Retail,2591.00,2023-11-21T05:51:25.541Z
4386637025544#2023-11-03T03:20:17.323Z,4386637025544,Ortiz LLC,Transportation,2590.00,2023-11-03T03:20:17.323Z
6477-2548-1759-9792#2023-11-29T09:30:12.553Z,6477-2548-1759-9792,"Lynch, Heidenreich and Kuvalis",Groceries,1003.00,2023-11-29T09:30:12.553Z
3529-6841-5257-5012#2023-02-06T00:42:34.083Z,3529-6841-5257-5012,"Gibson, Labadie and Denesik",Transportation,1242.00,2023-02-06T00:42:34.083Z
6771237296051446705#2023-06-25T13:41:44.114Z,6771237296051446705,Abshire - Hane,Fashion,1808.00,2023-06-25T13:41:44.114Z
3565-3112-9406-2924#2023-07-28T16:01:22.299Z,3565-3112-9406-2924,"Conn, Leffler and Feeney",Food & Drink,2513.00,2023-07-28T16:01:22.299Z
6771-8996-0241-0499#2023-11-02T03:49:23.296Z,6771-8996-0241-0499,Beahan - Balistreri,Transportation,1706.00,2023-11-02T03:49:23.296Z
3528-9584-3897-2610#2023-07-11T12:49:17.276Z,3528-9584-3897-2610,Rippin - Emard,Food & Drink,987.00,2023-07-11T12:49:17.276Z
6767-5257-7034-4196-34#2023-04-12T05:42:43.310Z,6767-5257-7034-4196-34,"Bradtke, Thompson and Fadel",Groceries,343.00,2023-04-12T05:42:43.310Z
676304774391849577#2023-09-02T02:06:59.724Z,676304774391849577,Hammes Inc,Fashion,1948.00,2023-09-02T02:06:59.724Z
6304-2946-1690-7183#2023-07-28T15:42:12.999Z,6304-2946-1690-7183,Crona Group,Food & Drink,2456.00,2023-07-28T15:42:12.999Z
3586-4741-6771-0980#2023-12-13T21:26:20.211Z,3586-4741-6771-0980,Donnelly - Gulgowski,Transportation,2903.00,2023-12-13T21:26:20.211Z
6476-0925-0026-4253#2023-10-29T20:20:40.337Z,6476-0925-0026-4253,"Dicki, Emmerich and Lesch",Fashion,1201.00,2023-10-29T20:20:40.337Z
6011-6212-9484-5729-0158#2023-10-26T12:48:59.393Z,6011-6212-9484-5729-0158,Herman - Shields,Groceries,944.00,2023-10-26T12:48:59.393Z
4617-4429-9711-0946#2023-01-21T10:02:40.885Z,4617-4429-9711-0946,Hackett - Sipes,Groceries,2006.00,2023-01-21T10:02:40.885Z
3549-8288-9928-4646#2023-04-27T16:24:00.021Z,3549-8288-9928-4646,Nikolaus and Sons,Fashion,1670.00,2023-04-27T16:24:00.021Z
3677-410237-2271#2023-10-12T02:06:32.499Z,3677-410237-2271,Collins LLC,Online Retail,745.00,2023-10-12T02:06:32.499Z
6477-2548-1759-9792#2023-04-06T23:16:44.963Z,6477-2548-1759-9792,Kautzer and Sons,Transportation,2018.00,2023-04-06T23:16:44.963Z
3528-6215-8024-9316#2023-07-09T06:41:38.266Z,3528-6215-8024-9316,"Kemmer, Pfannerstill and Howe",Fashion,2661.00,2023-07-09T06:41:38.266Z
3571-8318-2394-8089#2023-10-27T12:02:55.595Z,3571-8318-2394-8089,Casper - Homenick,Groceries,1087.00,2023-10-27T12:02:55.595Z
5018-0508-8847-6300#2023-09-28T06:46:39.402Z,5018-0508-8847-6300,Kovacek Group,Groceries,243.00,2023-09-28T06:46:39.402Z
6394-4277-2110-2610#2023-03-02T20:49:10.216Z,6394-4277-2110-2610,"Beahan, Roberts and Crist",Food & Drink,1812.00,2023-03-02T20:49:10.216Z
3050-963664-6600#2023-10-11T23:25:26.407Z,3050-963664-6600,Jacobson LLC,Fashion,1651.00,2023-10-11T23:25:26.407Z
6383-5450-8851-1280#2023-09-21T03:38:56.302Z,6383-5450-8851-1280,Hackett LLC,Groceries,2773.00,2023-09-21T03:38:56.302Z
6493-6289-7987-6414-6915#2023-07-30T13:08:01.098Z,6493-6289-7987-6414-6915,"Wunsch, Anderson and Funk",Transportation,2329.00,2023-07-30T13:08:01.098Z
3554-9912-2728-9463#2023-04-05T01:32:25.788Z,3554-9912-2728-9463,Gislason LLC,Food & Drink,747.00,2023-04-05T01:32:25.788Z
6759-0396-5532-3919-51#2023-01-01T16:01:33.679Z,6759-0396-5532-3919-51,Franey and Sons,Fashion,929.00,2023-01-01T16:01:33.679Z
3571-8318-2394-8089#2023-04-16T16:15:15.111Z,3571-8318-2394-8089,Waelchi and Sons,Food & Drink,1993.00,2023-04-16T16:15:15.111Z
6767-4584-3576-2232-794#2023-03-28T18:09:13.092Z,6767-4584-3576-2232-794,"Kub, Christiansen and Frami",Fashion,1942.00,2023-03-28T18:09:13.092Z
6394-0834-9953-8301#2023-01-03T07:44:49.084Z,6394-0834-9953-8301,Fritsch Group,Food & Drink,2612.00,2023-01-03T07:44:49.084Z
5020726204559400#2023-10-21T06:47:38.309Z,5020726204559400,Muller LLC,Online Retail,1040.00,2023-10-21T06:47:38.309Z
67610205216829411512#2023-09-29T00:35:11.250Z,67610205216829411512,Kuphal Group,Transportation,354.00,2023-09-29T00:35:11.250Z
5020-1826-5689-8765#2023-04-08T14:31:44.581Z,5020-1826-5689-8765,Satterfield - Hagenes,Transportation,2946.00,2023-04-08T14:31:44.581Z
3528-1030-0508-4271#2023-06-02T22:46:58.963Z,3528-1030-0508-4271,Wunsch - Hettinger,Transportation,1898.00,2023-06-02T22:46:58.963Z
3448-734755-77818#2023-07-05T19:41:20.293Z,3448-734755-77818,Beatty LLC,Transportation,1297.00,2023-07-05T19:41:20.293Z
670686179317001470#2023-11-25T18:02:56.045Z,670686179317001470,"Torp, Jones and Franey",Groceries,2798.00,2023-11-25T18:02:56.045Z
5533-9496-9809-5638#2023-04-26T02:54:24.970Z,5533-9496-9809-5638,Stroman LLC,Food & Drink,1354.00,2023-04-26T02:54:24.970Z
3528-9537-1220-8682#2023-03-30T07:54:54.470Z,3528-9537-1220-8682,"Dickinson, Kshlerin and Trantow",Fashion,2625.00,2023-03-30T07:54:54.470Z
5489-1068-6848-8309#2023-07-01T12:54:38.160Z,5489-1068-6848-8309,Zemlak - Howell,Fashion,2395.00,2023-07-01T12:54:38.160Z
